StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,"Consent ","Age ","Gender ",OMSI,"Prolific ID ",U_1,U_2,U_3,U_4,U_5,U_6,U_7,U_8,U_9,U_10,U_11,U_12,U_13,U_14,U_15,U_16,U_17,U_18,U_19,U_20,U_21,"U_Rel ",P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12,P_13,P_14,P_15,P_16,P_17,P_18,P_19,P_20,P_Rel,Music check,PROLIFIC_PID
2025-09-02 04:17:20,2025-09-02 04:19:24,0,86.20.145.78,100,123,1,2025-09-02 04:19:25,R_8OlbWnqQh3Tuc1M,,,,,51.2604,-1.0825,anonymous,EN,2,24,2,2,5ece3f660e92801e30440344,5,4,5,3,5,5,3,5,4,5,4,2,4,3,3,3,4,4,5,3,1,2,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,5ece3f660e92801e30440344
2025-09-02 04:17:25,2025-09-02 04:19:35,0,195.59.145.115,100,130,1,2025-09-02 04:19:36,R_2kNjQMXNgzpTyhS,,,,,51.4964,-0.1224,anonymous,EN,2,33,2,4,6658c4239af9537eefdfbcc9,4,5,4,4,5,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,1,3,5,4,5,4,5,4,4,4,4,4,4,5,5,5,4,5,5,4,4,4,3,2,6658c4239af9537eefdfbcc9
2025-09-02 04:16:28,2025-09-02 04:19:43,0,176.249.114.145,100,194,1,2025-09-02 04:19:43,R_8dhXWQc4uhyOg2g,,,,,53.706,-1.6997,anonymous,EN,2,36,1,3,5ae219585b920d0001410957,3,3,4,2,3,4,2,3,3,3,2,2,2,2,2,3,2,2,3,2,1,2,3,4,4,3,3,4,3,4,3,4,3,3,3,3,3,3,3,3,4,2,2,2,5ae219585b920d0001410957
2025-09-02 04:15:41,2025-09-02 04:19:55,0,212.140.170.66,100,253,1,2025-09-02 04:19:55,R_81aXiYF5lWw7jDO,,,,,52.9095,-0.6456,anonymous,EN,2,33,1,2,66cdeab6f33b221365775640,3,3,4,4,2,4,3,1,3,4,4,2,4,3,4,3,5,5,4,3,1,2,4,4,3,4,3,4,4,4,4,3,4,5,4,4,4,3,4,3,5,4,3,2,66cdeab6f33b221365775640
2025-09-02 04:15:40,2025-09-02 04:20:22,0,92.40.213.51,100,282,1,2025-09-02 04:20:23,R_81Y089eCfbQHkch,,,,,53.3497,-2.7266,anonymous,EN,2,64,2,2,5e2ecf8ad5947f490c9d0f08,5,4,5,3,5,5,4,4,5,4,4,4,3,5,5,5,5,4,4,3,1,3,4,4,4,3,5,5,3,4,4,4,3,3,4,4,4,4,5,4,4,3,3,1,5e2ecf8ad5947f490c9d0f08
2025-09-02 04:16:52,2025-09-02 04:20:24,0,51.6.171.81,100,212,1,2025-09-02 04:20:25,R_8sZomvcfVHMZxll,,,,,50.8302,-0.1336,anonymous,EN,2,71,2,1,60fff225fb2da6129caf029a,4,4,5,4,5,5,5,5,5,4,4,4,4,4,5,5,5,4,5,4,1,4,3,4,5,4,4,4,5,4,5,3,4,4,4,4,5,4,4,4,4,3,3,2,60fff225fb2da6129caf029a
2025-09-02 04:18:43,2025-09-02 04:20:52,0,146.199.154.26,100,129,1,2025-09-02 04:20:53,R_810ANL4j6US022G,,,,,52.4554,-1.9565,anonymous,EN,2,51,1,2,6659fdbefa66c9fbb5cfcdf9,2,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,6659fdbefa66c9fbb5cfcdf9
2025-09-02 04:17:14,2025-09-02 04:21:11,0,78.148.165.146,100,236,1,2025-09-02 04:21:11,R_8RadUkqU3HTwb1m,,,,,54.58,-5.928,anonymous,EN,2,25,2,2,676f53cddb4200bcf0869db5,3,3,2,2,2,2,4,1,2,3,2,2,2,2,3,2,2,3,5,3,1,2,4,4,5,5,5,5,3,4,4,4,5,5,4,4,4,4,5,4,4,5,4,2,676f53cddb4200bcf0869db5
2025-09-02 04:19:02,2025-09-02 04:21:16,0,86.165.28.80,100,133,1,2025-09-02 04:21:16,R_2vv0hHRryFeUlGh,,,,,52.9832,-1.9617,anonymous,EN,2,29,2,3,5d3983cb8580230018bbf15f,4,5,3,4,4,3,3,4,4,4,4,4,4,3,3,4,4,3,4,3,1,1,4,3,5,5,5,4,3,4,4,5,3,4,4,3,4,4,4,3,4,4,3,2,5d3983cb8580230018bbf15f
2025-09-02 04:15:16,2025-09-02 04:21:27,0,109.176.116.124,100,371,1,2025-09-02 04:21:27,R_2G8R4WuIoI0D15F,,,,,51.7655,-0.4482,anonymous,EN,2,37,1,3,60dca45abca3eb229bafdedf,3,3,3,5,4,3,5,3,3,3,3,4,3,3,3,4,5,5,5,3,1,3,5,5,5,3,5,5,5,5,4,5,4,5,4,4,4,5,4,5,5,4,4,2,60dca45abca3eb229bafdedf
2025-09-02 04:17:33,2025-09-02 04:21:38,0,81.141.247.33,100,245,1,2025-09-02 04:21:38,R_8R2WdSP1CrMVeXT,,,,,51.4223,-0.1984,anonymous,EN,2,46,2,2,67781d9c8126207402d7d6ba,4,4,5,4,4,4,4,3,3,3,3,3,5,5,4,5,5,4,5,3,1,3,4,4,4,3,5,3,4,4,5,3,3,4,4,3,4,5,4,3,5,3,2,2,67781d9c8126207402d7d6ba
2025-09-02 04:15:29,2025-09-02 04:21:45,0,31.48.245.208,100,376,1,2025-09-02 04:21:46,R_8NF0yrXqaUb3g5d,,,,,52.7133,-1.147,anonymous,EN,2,47,2,2,634699cbb044d59e19d5a7ea,5,4,4,3,5,4,3,4,5,4,4,3,4,4,4,4,4,5,5,4,1,4,5,4,5,4,4,5,4,4,4,4,5,4,3,4,4,3,3,5,4,4,4,2,634699cbb044d59e19d5a7ea
2025-09-02 04:19:32,2025-09-02 04:23:21,0,82.132.228.41,100,229,1,2025-09-02 04:23:21,R_2GKfsJ37O2t3c9E,,,,,51.4862,-0.1008,anonymous,EN,2,39,1,2,5a8367b9190420000155ec2a,5,5,5,3,4,4,4,3,4,4,4,2,4,3,2,4,5,3,5,3,1,3,3,3,5,4,4,4,5,4,5,4,5,5,5,5,4,3,2,5,4,4,1,2,5a8367b9190420000155ec2a
