ID
E1
E6
E7
D1
D6
D7
R1
R3
R7
M1
M3
F1
F3
F6
F10
C5
C2
C9
S5
S6
S7
U2
U3
U6
P4
P8
P9
I3
I4
I5
X1
X2
B1
B3
B5
