"","E","D","R","M","F","G","L","C","X","B","I","A","VigNro","ProlificID"
"1",0.501174232868732,-2.20199995639941,-0.990602922906197,-1.55203187965917,-2.14652478278111,1.59215861790224,-1.60116139083176,-1.83146880134747,-1.24956906506467,-1.66436290389792,-0.581122076750578,0.00687739109577739,1,"5af5a5c3226ed5000133d67c"
"2",0.448291903899023,-0.076984438100747,0.116384991435279,-0.284287020110507,0.0364153952349922,0.836442386918975,0.514475335984807,0.102160354427225,-0.00468924327404312,0.252232716212243,-0.108807300929007,0.349327689949209,1,"58954e2dc88c680001dd4b7e"
"3",0.575497289817992,-0.342702851143534,-1.41433415649879,0.378291279877154,-0.530132368356078,1.06758887674377,0.037024711535409,-0.250089629315471,0.0564535842075415,0.20363351350381,-0.115642081603967,0.354852583311534,1,"5eddaa6d115bb4ac7e59f153"
"4",0.536173861146652,-1.02524978388706,-1.67631189139198,-0.560503355707516,-1.19722619745888,1.70195181886777,0.356828205175414,-1.46178645975812,-0.318930261770142,-1.34197230698186,-0.150021775361929,-0.0264959798794748,1,"5b0710e7a84dcf0001beee8a"
"5",0.373725770353811,0.322681201359083,0.901329568196787,-0.382852913610656,0.584498230422781,-0.464289447856877,-0.568722689412117,0.26055056360985,0.043918503042175,-1.01801127029487,-0.271487620663332,0.0286164350956338,1,"66484cfc664a1d8dd22f2fcf"
"6",-0.106637568626299,-0.268325403676496,-0.417602300871002,-0.113530852091806,0.377642860555793,1.13056986018235,-0.199143866366363,-0.104678167702868,0.184177355548796,0.253491337206906,0.239368062564927,0.0501492647597255,1,"5ded58a8217786000b2b2511"
"7",0.639747304012372,-1.22668671749156,0.511647774952023,-0.101431127546136,-0.42704441103068,1.17992788548547,0.461586402616678,0.571593726429415,-0.728947418402114,1.95874576823905,-0.794502010565137,0.82636014242528,1,"655b901b23209ae4a194a402"
"8",-0.0272949517207134,0.413496030052804,0.069183747181487,0.265431715173873,-0.317768002123952,0.847401069125017,0.569570736656641,0.122547475189297,0.52248806936727,0.92953921901704,0.639435650202681,0.198964767803256,1,"59982afab5566b0001aa842b"
"9",0.0344153072589824,-0.517878135462732,-0.495969609302689,-0.395633746420669,-0.482635445657539,0.454923340012159,0.424814221983702,-0.391388210251189,-0.277828754904402,-0.369281678448769,-0.63505585150232,-0.125896954300194,1,"6032276df732e91d963c2bd8"
"10",0.56776119747006,-0.229692620243843,-0.158642567777733,1.23609481613165,1.09312003813917,1.27397398240201,0.0516187761563438,-0.130883318486005,0.846599719490127,1.83793701680573,1.62056890277643,0.846699545563436,1,"6760ab77472f5f735bc7699c"
"11",-0.5512733550975,-1.45744021137112,-2.44791234980751,-1.8282670329591,-2.03839142366961,0.0668112744064297,-0.337894313495614,-1.59541934234529,-0.99926659229493,-1.69443812781547,-1.91706701025897,-0.808382329665809,1,"676407406b8f720bea5f1505"
"12",0.0227931379275351,0.137397974163061,-0.5683623322633,-0.298517153598543,-0.493685883651456,0.71039385316719,0.126778702347145,-0.498175666961243,0.194837552293207,-1.58345769075547,-1.08571836325188,-0.556952781232953,1,"5e94b43203807b339eef4947"
"13",0.210078676985188,0.0982416585522403,-0.744403557863082,0.58934864858828,0.481794311443391,1.18149541446087,0.434314491701244,-0.496536422257536,0.356988791845982,-0.0725154570731874,0.979792987919817,-0.0432738825390194,1,"5e7897841fc50b000c787b94"
"14",0.661830134879291,1.08058807281479,0.481760003623677,1.05908512661697,1.10157197151405,0.431284347067702,1.51690644873206,0.858829915819547,0.732265274543074,-0.851072518547067,0.273511717752215,0.172249116022025,1,"6413695069219184bd98cff7"
"15",0.105807913778758,0.0360999672581261,-0.152188068359999,0.283205711250043,-0.195450463635502,1.06425104569988,0.54664783279746,0.0562268192337302,0.50117685710978,1.13965727934384,-0.0533447014943282,0.192200134661655,1,"65e646da8809bd962f8da706"
"16",-0.146135926688316,-1.82074773517148,-0.876569598303962,-2.11944261853956,-2.21305000160569,-1.01540629725631,-2.41193999916032,-1.45784763410639,-2.15865903148017,-1.63415747216538,-0.328458661654719,-0.0333489615527277,1,"5fc59271971cc91189a1bdf0"
"17",0.252684588383579,-1.12251838344849,-1.90047181537627,0.560662636956229,-0.691676623289756,1.39832681565016,-0.196666098179727,-1.13309658718684,0.80332164545781,-1.01967194559056,-1.34468855898691,-0.40129093848708,1,"6730f965beb7513190d2be93"
"18",-0.0516308355800161,-0.0218200753650283,0.068037249400076,0.146833015421927,-0.146679662777958,0.809696240306632,0.163677512194947,0.0592497460624978,0.312532628300553,0.88880699188273,-0.134710283339327,0.115405163463524,1,"671fe3978b9b0b5d4b9a1265"
"19",0.819045379214626,0.613755914908045,1.01332609590002,1.3219947219013,1.52121589306863,1.88321049800779,1.56847380926698,1.01946503810346,1.48063824363645,2.16531888746577,1.65807497477998,1.08324022110044,1,"67e046e3bd41b4cbdfc27599"
"20",0.790263557259099,0.83438330098584,-0.0821956318180561,0.854605441481115,0.321929234879552,1.41004153378823,0.157900080973336,0.368553368291532,0.184933089208407,-0.571752302878291,0.339372129367593,0.448628138785423,1,"58d3b42e9dbe3f0001258d95"
